id,first_name,last_name,full_name,country,ranking,movement,ranking_points
1501686,Leylah,Fernandez,Leylah Fernandez,Canada,32,,1687
1139928,Dayana,Yastremska,Dayana Yastremska,Ukraine,33,,1612
471318,Elise,Mertens,Elise Mertens,Belgium,34,,1554
1264998,Anastasia,Potapova,Anastasia Potapova,Russia,35,,1482
1383780,Amanda,Anisimova,Amanda Anisimova,USA,36,,1461
1364598,Xinyu,Wang,Xinyu Wang,China,37,,1418
253746,Magda,Linette,Magda Linette,Poland,38,,1376
916836,Marketa,Vondrousova,Marketa Vondrousova,Czechia,39,,1363
332418,Ons,Jabeur,Ons Jabeur,Tunisia,41,,1226
124404,Karolina,Pliskova,Karolina Pliskova,Czechia,42,,1223
1575576,Elina,Avanesyan,Elina Avanesyan,Armenia,43,,1182
434268,Katerina,Siniakova,Katerina Siniakova,Czechia,44,,1177
1145988,Yue,Yuan,Yue Yuan,China,45,,1149
118128,Julia,Gorges,Julia Gorges,Germany,45,,1483
1566582,Peyton,Stearns,Peyton Stearns,USA,46,,1139
632790,Marie,Bouzkova,Marie Bouzkova,Czechia,47,+2,1134
248256,Viktoriya,Tomova,Viktoriya Tomova,Bulgaria,48,-1,1133
1486758,Diane,Parry,Diane Parry,France,49,-1,1112
1513020,Clara,Tauson,Clara Tauson,Denmark,50,,1097
426216,Rebecca,Sramkova,Rebecca Sramkova,Slovakia,51,+2,1096
254046,Caroline,Garcia,Caroline Garcia,France,52,-1,1088
1198752,Olga,Danilovic,Olga Danilovic,Serbia,53,-1,1055
1589892,Elisabetta,Cocciaretto,Elisabetta Cocciaretto,Italy,54,,1048
1650642,Maneiro,Bouzas,Maneiro Bouzas,Spain,55,+1,1046
1520148,Moyuka,Uchijima,Moyuka Uchijima,Japan,56,-1,1040
543996,Anhelina,Kalinina,Anhelina Kalinina,Ukraine,57,,1030
1552548,Emma,Raducanu,Emma Raducanu,United Kingdom,58,,1025
215034,Simona,Halep,Simona Halep,Romania,58,-2,970
398868,Naomi,Osaka,Naomi Osaka,Japan,59,,1014
1536636,Katie,Volynets,Katie Volynets,USA,60,+1,1001
667146,Renata,Zarazua,Renata Zarazua,Mexico,61,+1,1000
312162,Yafan,Wang,Yafan Wang,China,62,-2,994
1306980,Kamilla,Rakhimova,Kamilla Rakhimova,Russia,63,,987
1283670,Serrano,Osorio,Serrano Osorio,Colombia,64,,980
1866084,Ashlyn,Krueger,Ashlyn Krueger,USA,65,,969
1294542,Varvara,Gracheva,Varvara Gracheva,France,66,,949
2017344,Erika,Andreeva,Erika Andreeva,Russia,67,,947
1399296,Mccartney,Kessler,Mccartney Kessler,USA,68,+1,943
308334,Taylor,Townsend,Taylor Townsend,USA,69,-1,916
118380,Sorana,Cirstea,Sorana Cirstea,Romania,70,,914
1139982,Anna,Blinkova,Anna Blinkova,Russia,71,+4,913
594798,Cristina,Bucsa,Cristina Bucsa,Spain,72,-1,912
113472,Caroline,Wozniacki,Caroline Wozniacki,Denmark,73,-1,908
436560,Jaqueline,Cristian,Jaqueline Cristian,Romania,74,-1,902
1239420,Clara,Burel,Clara Burel,France,75,-1,900
406554,Bernarda,Pera,Bernarda Pera,USA,76,+5,896
401820,Veronika,Kudermetova,Veronika Kudermetova,Russia,77,-1,888
660342,Lucia,Bronzetti,Lucia Bronzetti,Italy,78,-1,887
1239714,Yulia,Starodubtsewa,Yulia Starodubtsewa,Ukraine,79,+36,853
138960,Sloane,Stephens,Sloane Stephens,USA,79,,882
361668,Nadia,Podoroska,Nadia Podoroska,Argentina,80,,879
119094,Arantxa,Rus,Arantxa Rus,Netherlands,81,+2,871
288066,Anett,Kontaveit,Anett Kontaveit,Estonia,81,-2,779
742956,Caroline,Dolehide,Caroline Dolehide,USA,82,-4,864
206928,Ajla,Tomljanovic,Ajla Tomljanovic,Australia,83,+2,850
1197066,Suzan,Lamens,Suzan Lamens,Netherlands,84,+7,842
322746,Harriet,Dart,Harriet Dart,United Kingdom,85,-3,838
1489968,Hailey,Baptiste,Hailey Baptiste,USA,86,-2,835
1395918,Olivia,Gadecki,Olivia Gadecki,Australia,87,,827
551772,Sofia,Kenin,Sofia Kenin,USA,88,,824
1324818,Jule,Niemeier,Jule Niemeier,Germany,89,-3,816
225060,Laura,Siegemund,Laura Siegemund,Germany,90,+11,807
903456,Anna,Bondar,Anna Bondar,Hungary,91,+6,800
851364,Maria,Carle,Maria Carle,Argentina,92,-2,799
1746924,Sonay,Kartal,Sonay Kartal,United Kingdom,93,+2,796
664830,Greet,Minnen,Greet Minnen,Belgium,94,-1,791
801984,Paula,Badosa,Paula Badosa,Spain,95,+2,687
1697352,Yulia,Starodubtseva,Yulia Starodubtseva,Ukraine,95,-3,790
295038,Diaz,Parrizas,Diaz Parrizas,Spain,96,-2,790
529872,Mayar,Sherif,Mayar Sherif,Egypt,97,-1,783
117132,Tatjana,Maria,Tatjana Maria,Germany,98,,781
1338900,Xiyu,Wang,Xiyu Wang,China,99,+1,774
215040,Irina,Begu,Irina Begu,Romania,100,+2,728
115224,Sara,Errani,Sara Errani,Italy,101,-12,717
362364,Tormo,Sorribes,Tormo Sorribes,Spain,102,+1,710
1336968,Ann,Li,Ann Li,USA,103,+8,694
1532358,Anastasia,Zakharova,Anastasia Zakharova,Russia,104,+9,689
277836,Anna,Schmiedlova,Anna Schmiedlova,Slovakia,105,-1,689
1784220,Robin,Montgomery,Robin Montgomery,USA,106,+1,681
389820,Oceane,Dodin,Oceane Dodin,France,107,-8,680
279558,Chloe,Paquet,Chloe Paquet,France,108,,674
630606,Kimberly,Birrell,Kimberly Birrell,Australia,109,+6,661
248142,Ana,Bogdan,Ana Bogdan,Romania,110,+2,653
1525704,Julia,Riera,Julia Riera,Argentina,111,+6,650
156732,Rebecca,Marino,Rebecca Marino,Canada,112,+2,647
274644,Johanna,Konta,Johanna Konta,United Kingdom,113,-1,705
2256048,Maya,Joint,Maya Joint,Australia,113,-3,645
245976,Daria,Saville,Daria Saville,Australia,114,+4,633
138504,Arina,Rodionova,Arina Rodionova,Australia,115,+4,620
1328472,Alycia,Parks,Alycia Parks,USA,116,-7,609
265866,Camila,Giorgi,Camila Giorgi,Italy,116,-2,681
216414,Lesia,Tsurenko,Lesia Tsurenko,Ukraine,117,+5,600
2216640,Anca,Todoni,Anca Todoni,Romania,118,+24,621
273516,Lin,Zhu,Lin Zhu,China,118,+5,600
1426026,Zeynep,Sonmez,Zeynep Sonmez,Türkiye,119,+8,598
118236,Petra,Martic,Petra Martic,Croatia,120,+4,597
379332,Jessika,Ponchet,Jessika Ponchet,France,121,-15,597
1919982,Marina,Stakusic,Marina Stakusic,Canada,122,-6,587
